phase,Lbb,Lbb_unc,Lbb_uncr,Lbb_uncl,lgLbb,lgLbb_unc,lgLbb_uncr,lgLbb_uncl,Tbb,Tbb_unc,Tbb_uncr,Tbb_uncl,Rbb,Rbb_unc,Rbb_uncr,Rbb_uncl
2.422587890898285,8.226349835046533e+41,3.5917038652717343e+40,3.8351858839663337e+40,3.348221846577135e+40,41.91520717444129,0.01891771602448955,0.019789340147184475,0.018046091901794625,6895.36554807255,333.4762414431684,338.44416699261546,328.5083158937214,10267.309784792316,804.7838631202821,859.7193508021392,749.8483754384251
3.0754203856922686,6.366632907202417e+41,2.378506987945396e+40,2.5148202318016066e+40,2.2421937440891857e+40,41.80390980966085,0.016197626630251705,0.016824495199479372,0.015570758061024037,6711.904553607559,285.61340847924885,295.258719982553,275.9680969759447,9534.609396869875,688.4681002272137,710.5363737380558,666.3998267163715
4.071267670020461,4.0166226307406385e+41,9.48405755953332e+39,9.7191842025608e+39,9.24893091650584e+39,41.60386103086396,0.01025047385616773,0.010383670867447847,0.010117276844887613,5520.335239628933,217.90145051669242,227.3836614437878,208.41923958959705,11185.765362703189,855.0634263330694,878.6060109489226,831.5208417172162
4.951220500050113,2.6548160607096823e+41,1.3408664640588202e+40,1.4307118481104931e+40,1.2510210800071474e+40,41.42403443630784,0.021879396188111855,0.022795772191479102,0.020963020184744607,6100.389970042965,360.85965158660156,381.9733236962893,339.7459794769138,7442.109187378365,755.6939278105783,789.3135128529657,722.074342768191
5.901386250043288,1.7559783387478008e+41,1.014000439798019e+40,1.0239486417160349e+40,1.0040522378800031e+40,41.24451915426921,0.02509228461844515,0.024613780196155233,0.025570789040735065,5055.196496632361,451.24615163170347,470.54171148146906,431.9505917819379,8783.616104366518,1537.5619022328938,1712.5361642542157,1362.5876402115719
6.938314285725937,1.4717406917944907e+41,5.624085232538401e+39,5.749961158027162e+39,5.498209307049641e+39,41.16783129774388,0.016589939108317964,0.016644437655038757,0.01653544056159717,5373.280606121653,307.3246958798013,320.65343586953986,293.99595589006276,7137.922029059666,817.1034417117276,869.7435508592789,764.4633325641762
7.99586566677317,1.4333893633709206e+41,2.3378073882286426e+40,2.3160955522952192e+40,2.359519224162066e+40,41.1563641774138,0.07158056120956857,0.06504977835886194,0.0781113440602752,5164.926143906136,6.792834029775349,6.896414315850052,6.689253743700647,7641.459460714681,625.855843258309,593.8942157665842,657.8174707500339
10.109321666568576,1.0026518253027409e+41,9.756924267011634e+39,9.632661657269529e+39,9.881186876753739e+39,41.001150148772254,0.042448818328189475,0.039839024391575606,0.045058612264803344,5070.7094263766685,6.817642001596141,6.787806493083735,6.847477510108547,6631.126581628666,323.74539372343816,312.6086760959415,334.8821113509348
17.0,5.043006403412069e+40,4.8300312660498854e+39,4.734577416863634e+39,4.925485115236137e+39,40.70268951960961,0.04180284992056116,0.038971280166627764,0.04463441967449455,5002.585876964874,6.75718767120452,6.726533130497046,6.787842211911993,4831.4852590695855,231.71642521968442,221.8293395210585,241.60351091831035
-1.756896075057739,2.5192345417260108e+42,5.542452582014037e+41,6.669316263599921e+41,4.415588900428154e+41,42.40126860236736,0.09284533575258891,0.10199981944331427,0.08369085206186355,15623.275901434938,1642.2825672873614,1845.4170843566226,1439.1480502181003,3501.8511748085184,357.86407188395583,359.8915638208373,355.83657994707437
-0.5676349665882299,1.960504113074025e+42,1.4980226729569554e+41,1.5854413601489602e+41,1.4106039857649507e+41,42.292367757772915,0.033101110191882555,0.03377308759975506,0.03242913278401005,11049.305294388374,497.8577013355198,509.6244148923415,486.09098777869804,6175.7480488987785,327.4563351237921,339.5760829604951,315.33658728708906
0.2100000001155422,1.7304662368296246e+42,9.2148881930705e+40,1.024061424832346e+41,8.18916213781754e+40,42.23816313018222,0.023011809134533934,0.024969096433160587,0.02105452183590728,8959.968549165907,480.51795583324383,502.6521262726237,458.38378539386395,8822.489272202947,732.1793529965917,762.7689675041729,701.5897384890104
